"","scenario_run","run","population","total"
"1","run1",1,"(A) non-prisoner-facing staff",0.484415743069667
"2","run1",1,"(B) prisoner-facing staff",2.52624665548104
"3","run1",2,"(A) non-prisoner-facing staff",0.486795598586877
"4","run1",2,"(B) prisoner-facing staff",2.48972868192653
"5","run1",3,"(A) non-prisoner-facing staff",0.522232494346906
"6","run1",3,"(B) prisoner-facing staff",2.67060416397467
"7","run1",4,"(A) non-prisoner-facing staff",0.43331734118863
"8","run1",4,"(B) prisoner-facing staff",2.21477021930655
"9","run1",5,"(A) non-prisoner-facing staff",0.427825059845987
"10","run1",5,"(B) prisoner-facing staff",2.28693329960612
"11","run1",6,"(A) non-prisoner-facing staff",0.485217005676554
"12","run1",6,"(B) prisoner-facing staff",2.50315348143201
"13","run1",7,"(A) non-prisoner-facing staff",0.474620400157665
"14","run1",7,"(B) prisoner-facing staff",2.49360949875436
"15","run1",8,"(A) non-prisoner-facing staff",0.446739452880368
"16","run1",8,"(B) prisoner-facing staff",2.31313879565477
"17","run1",9,"(A) non-prisoner-facing staff",0.436303108847991
"18","run1",9,"(B) prisoner-facing staff",2.27181735886535
"19","run1",10,"(A) non-prisoner-facing staff",0.47239686981903
"20","run1",10,"(B) prisoner-facing staff",2.42526950667559
"21","run1",11,"(A) non-prisoner-facing staff",0.610556628496412
"22","run1",11,"(B) prisoner-facing staff",3.15106572713464
"23","run1",12,"(A) non-prisoner-facing staff",0.471677969662129
"24","run1",12,"(B) prisoner-facing staff",2.41340882628613
"25","run1",13,"(A) non-prisoner-facing staff",0.471700705732993
"26","run1",13,"(B) prisoner-facing staff",2.41896918780592
"27","run1",14,"(A) non-prisoner-facing staff",0.500572772380179
"28","run1",14,"(B) prisoner-facing staff",2.58912221585633
"29","run1",15,"(A) non-prisoner-facing staff",0.419370433677866
"30","run1",15,"(B) prisoner-facing staff",2.18328202917729
"31","run1",16,"(A) non-prisoner-facing staff",0.465643016462845
"32","run1",16,"(B) prisoner-facing staff",2.3805534371903
"33","run1",17,"(A) non-prisoner-facing staff",0.471640966938876
"34","run1",17,"(B) prisoner-facing staff",2.42734686986386
"35","run1",18,"(A) non-prisoner-facing staff",0.485499821960219
"36","run1",18,"(B) prisoner-facing staff",2.49752602517884
"37","run1",19,"(A) non-prisoner-facing staff",0.439616863407148
"38","run1",19,"(B) prisoner-facing staff",2.25385418870349
"39","run1",20,"(A) non-prisoner-facing staff",0.467149963027998
"40","run1",20,"(B) prisoner-facing staff",2.43885365522283
"41","run1",21,"(A) non-prisoner-facing staff",0.423661787883987
"42","run1",21,"(B) prisoner-facing staff",2.2338453234556
"43","run1",22,"(A) non-prisoner-facing staff",0.647517489327299
"44","run1",22,"(B) prisoner-facing staff",3.35141587124509
"45","run1",23,"(A) non-prisoner-facing staff",0.510010165640815
"46","run1",23,"(B) prisoner-facing staff",2.67459852989854
"47","run1",24,"(A) non-prisoner-facing staff",0.588808526877269
"48","run1",24,"(B) prisoner-facing staff",3.0297936768982
"49","run1",25,"(A) non-prisoner-facing staff",0.47129753198919
"50","run1",25,"(B) prisoner-facing staff",2.45813173577156
"51","run1",26,"(A) non-prisoner-facing staff",0.419012013605203
"52","run1",26,"(B) prisoner-facing staff",2.19742903965759
"53","run1",27,"(A) non-prisoner-facing staff",0.432724298000024
"54","run1",27,"(B) prisoner-facing staff",2.26184516804439
"55","run1",28,"(A) non-prisoner-facing staff",0.539892090291647
"56","run1",28,"(B) prisoner-facing staff",2.77871122777345
"57","run1",29,"(A) non-prisoner-facing staff",0.415065786383606
"58","run1",29,"(B) prisoner-facing staff",2.27666828910537
"59","run1",30,"(A) non-prisoner-facing staff",0.508562883564803
"60","run1",30,"(B) prisoner-facing staff",2.59826494580354
