"","scenario_run","run","total","wane"
"128","run2",19,3409.27863535909,"No waning"
"129","run3",19,3393.61490970683,"No waning"
"130","run4",19,3392.49178062436,"No waning"
"131","run5",19,1862.94790021835,"No waning"
"132","run6",19,2420.96839344398,"No waning"
"133","run7",19,1823.31950980891,"No waning"
"134","run1",20,2085.53625242208,"No waning"
"135","run2",20,2078.54777292644,"No waning"
"136","run3",20,2070.48352511902,"No waning"
"137","run4",20,2069.51465826686,"No waning"
"138","run5",20,1293.35241231322,"No waning"
"139","run6",20,1519.99820247508,"No waning"
"140","run7",20,1260.41764028928,"No waning"
"141","run1",21,1683.00569198924,"No waning"
"142","run2",21,1672.16852738996,"No waning"
"143","run3",21,1591.68648734729,"No waning"
"144","run4",21,1598.8529347027,"No waning"
"145","run5",21,306.59646503013,"No waning"
"146","run6",21,601.497544558992,"No waning"
"147","run7",21,73.2705811722866,"No waning"
"148","run1",22,2362.81006473359,"No waning"
"149","run2",22,2350.19472148471,"No waning"
"150","run3",22,2332.86835411243,"No waning"
"151","run4",22,2331.00603344621,"No waning"
"152","run5",22,736.483046030373,"No waning"
"153","run6",22,1568.64697372148,"No waning"
"154","run7",22,634.45291454084,"No waning"
"155","run1",23,2059.9825429455,"No waning"
"156","run2",23,2045.95355044039,"No waning"
"157","run3",23,2013.75036615206,"No waning"
"158","run4",23,2012.49218393166,"No waning"
"159","run5",23,939.632879056211,"No waning"
"160","run6",23,1650.30248892239,"No waning"
"161","run7",23,845.452410405461,"No waning"
"162","run1",24,1616.1137045176,"No waning"
"163","run2",24,1600.45576119973,"No waning"
"164","run3",24,1566.65194524416,"No waning"
"165","run4",24,1565.58893892756,"No waning"
"166","run5",24,475.618935221231,"No waning"
"167","run6",24,1092.57132511965,"No waning"
"168","run7",24,248.114155457224,"No waning"
"169","run1",25,1819.11956114453,"No waning"
"170","run2",25,1812.76265823033,"No waning"
"171","run3",25,1809.24546888835,"No waning"
"172","run4",25,1807.21663752259,"No waning"
"173","run5",25,1060.78814946292,"No waning"
"174","run6",25,1116.17794852729,"No waning"
"175","run7",25,1030.96089990559,"No waning"
"176","run1",26,3308.62839834245,"No waning"
"177","run2",26,3300.28042855423,"No waning"
"178","run3",26,3297.64010923151,"No waning"
"179","run4",26,3296.98550436821,"No waning"
"180","run5",26,2014.51948079057,"No waning"
"181","run6",26,2453.46843050495,"No waning"
"182","run7",26,1994.12463679334,"No waning"
"183","run1",27,2657.26308089613,"No waning"
"184","run2",27,2644.91157164721,"No waning"
"185","run3",27,2618.23035589868,"No waning"
"186","run4",27,2621.38948504805,"No waning"
"187","run5",27,1306.21697749102,"No waning"
"188","run6",27,1689.6790844208,"No waning"
"189","run7",27,1196.88625049559,"No waning"
"190","run1",28,3055.09139728956,"No waning"
"191","run2",28,3040.64362167839,"No waning"
"192","run3",28,3042.12491281699,"No waning"
"193","run4",28,3040.62123749793,"No waning"
"194","run5",28,532.89178379939,"No waning"
"195","run6",28,1960.65859509562,"No waning"
"196","run7",28,306.193164600633,"No waning"
"197","run1",29,3571.75150456053,"No waning"
"198","run2",29,3561.80967006209,"No waning"
"199","run3",29,3559.35172931568,"No waning"
"200","run4",29,3558.11319293999,"No waning"
"201","run5",29,1392.96966841366,"No waning"
"202","run6",29,2058.08766235691,"No waning"
"203","run7",29,1353.45794419889,"No waning"
"204","run1",30,2962.60750125162,"No waning"
"205","run2",30,2946.79030806294,"No waning"
"206","run3",30,2919.56443886275,"No waning"
"207","run4",30,2915.07013999755,"No waning"
"208","run5",30,579.510385996882,"No waning"
"209","run6",30,2145.10071370584,"No waning"
"210","run7",30,406.55860632504,"No waning"
"211","run1",31,1305.45104816296,"No waning"
"212","run2",31,1286.24613032139,"No waning"
"213","run3",31,1244.43651827949,"No waning"
"214","run4",31,1243.05379963333,"No waning"
"215","run5",31,341.038073410778,"No waning"
"216","run6",31,840.311799832251,"No waning"
"217","run7",31,116.568030889771,"No waning"
"218","run1",32,3267.51718047601,"No waning"
"219","run2",32,3260.33666961966,"No waning"
"220","run3",32,3252.99970521652,"No waning"
"221","run4",32,3252.01273038428,"No waning"
"222","run5",32,2128.41747748868,"No waning"
"223","run6",32,2660.75280673795,"No waning"
"224","run7",32,2100.15825972809,"No waning"
"225","run1",33,2484.05882931412,"No waning"
"226","run2",33,2468.88938610495,"No waning"
"227","run3",33,2454.90042194516,"No waning"
"228","run4",33,2453.87128824424,"No waning"
"229","run5",33,719.538407468869,"No waning"
"230","run6",33,1559.11484955173,"No waning"
"231","run7",33,566.115633526229,"No waning"
"232","run1",34,1852.26186125268,"No waning"
"233","run2",34,1831.34201290522,"No waning"
"234","run3",34,1801.38155372137,"No waning"
"235","run4",34,1801.81516242865,"No waning"
"236","run5",34,354.301335820513,"No waning"
"237","run6",34,1114.53867350913,"No waning"
"238","run7",34,104.989048978129,"No waning"
"239","run1",35,1967.97778253666,"No waning"
"240","run2",35,1951.16089385107,"No waning"
"241","run3",35,1919.59202712168,"No waning"
"242","run4",35,1917.50645710199,"No waning"
"243","run5",35,489.39706125912,"No waning"
"244","run6",35,1300.0495487438,"No waning"
"245","run7",35,257.935559464898,"No waning"
"246","run1",36,2731.99419109937,"No waning"
"247","run2",36,2720.52627128398,"No waning"
"248","run3",36,2700.02137180736,"No waning"
"249","run4",36,2696.92798993932,"No waning"
"250","run5",36,1304.56837341215,"No waning"
"251","run6",36,2233.93343119375,"No waning"
"252","run7",36,1247.18779939897,"No waning"
"253","run1",37,1869.11677020436,"No waning"
"254","run2",37,1855.37233192212,"No waning"
"255","run3",37,1836.73959682508,"No waning"
"256","run4",37,1833.2350140694,"No waning"
"257","run5",37,475.031331617058,"No waning"
"258","run6",37,1284.57252764217,"No waning"
"259","run7",37,288.077359948901,"No waning"
"260","run1",38,1935.37632791352,"No waning"
"261","run2",38,1919.18681850832,"No waning"
"262","run3",38,1888.01775400198,"No waning"
"263","run4",38,1888.36986940877,"No waning"
"264","run5",38,732.253762297758,"No waning"
"265","run6",38,1143.17943245386,"No waning"
"266","run7",38,570.824109226246,"No waning"
"267","run1",39,1547.64231956889,"No waning"
"268","run2",39,1533.63868954454,"No waning"
"269","run3",39,1516.0460124649,"No waning"
"270","run4",39,1512.6992369499,"No waning"
"271","run5",39,508.726290951474,"No waning"
"272","run6",39,901.336026760638,"No waning"
"273","run7",39,344.650670426251,"No waning"
"274","run1",40,2173.2967286466,"No waning"
"275","run2",40,2164.45892054523,"No waning"
"276","run3",40,2159.52994609187,"No waning"
"277","run4",40,2157.40103587744,"No waning"
"278","run5",40,1183.40820664573,"No waning"
