"","scenario_run","run","total","wane"
"1","run1",1,5200.28916199523,"Waning"
"2","run2",1,5193.07154614506,"Waning"
"3","run3",1,5165.41923035389,"Waning"
"4","run4",1,5167.67910885266,"Waning"
"5","run5",1,4219.73840244594,"Waning"
"6","run6",1,4405.08173800652,"Waning"
"7","run7",1,4168.94850188023,"Waning"
"8","run1",2,4575.3465891016,"Waning"
"9","run2",2,4568.30841972515,"Waning"
"10","run3",2,4540.22280173421,"Waning"
"11","run4",2,4542.90874761502,"Waning"
"12","run5",2,3176.59594777906,"Waning"
"13","run6",2,3561.40371192704,"Waning"
"14","run7",2,3123.71769448475,"Waning"
"15","run1",3,7639.91364372735,"Waning"
"16","run2",3,7631.28667027239,"Waning"
"17","run3",3,7601.22582733525,"Waning"
"18","run4",3,7604.79320314906,"Waning"
"19","run5",3,4698.54272947398,"Waning"
"20","run6",3,6365.10590961238,"Waning"
"21","run7",3,4635.05060610619,"Waning"
"22","run1",4,5960.17987148456,"Waning"
"23","run2",4,5955.88538496757,"Waning"
"24","run3",4,5939.11291661076,"Waning"
"25","run4",4,5939.91342241854,"Waning"
"26","run5",4,4389.52733042557,"Waning"
"27","run6",4,5050.60191177323,"Waning"
"28","run7",4,4356.91600620064,"Waning"
"29","run1",5,5302.69116137,"Waning"
"30","run2",5,5296.53497257439,"Waning"
"31","run3",5,5272.86650410616,"Waning"
"32","run4",5,5274.82069901821,"Waning"
"33","run5",5,4105.4936390181,"Waning"
"34","run6",5,4506.65082379976,"Waning"
"35","run7",5,4061.09220234545,"Waning"
"36","run1",6,5408.59986496557,"Waning"
"37","run2",6,5403.29881630907,"Waning"
"38","run3",6,5379.04544669621,"Waning"
"39","run4",6,5381.57006880454,"Waning"
"40","run5",6,4099.08381183573,"Waning"
"41","run6",6,4437.59889539253,"Waning"
"42","run7",6,4055.70491873694,"Waning"
"43","run1",7,5753.06343164713,"Waning"
"44","run2",7,5748.25593086604,"Waning"
"45","run3",7,5727.55756020391,"Waning"
"46","run4",7,5728.96342879776,"Waning"
"47","run5",7,4038.38643119674,"Waning"
"48","run6",7,4764.05151828792,"Waning"
"49","run7",7,3999.54284241614,"Waning"
"50","run1",8,5778.45986210477,"Waning"
"51","run2",8,5771.79545344302,"Waning"
"52","run3",8,5746.25709710671,"Waning"
"53","run4",8,5749.20515807832,"Waning"
"54","run5",8,4695.81997695546,"Waning"
"55","run6",8,5103.56651455034,"Waning"
"56","run7",8,4649.9716300663,"Waning"
"57","run1",9,4956.24990014417,"Waning"
"58","run2",9,4951.30905663599,"Waning"
"59","run3",9,4931.71033669367,"Waning"
"60","run4",9,4932.65565548429,"Waning"
"61","run5",9,3892.24144655847,"Waning"
"62","run6",9,4097.93317413095,"Waning"
"63","run7",9,3854.44489484401,"Waning"
"64","run1",10,4256.65035503428,"Waning"
"65","run2",10,4248.11224077967,"Waning"
"66","run3",10,4217.54264595693,"Waning"
"67","run4",10,4219.94827058675,"Waning"
"68","run5",10,3079.09239970765,"Waning"
"69","run6",10,3339.24530447989,"Waning"
"70","run7",10,3022.28026748246,"Waning"
"71","run1",11,6367.26989841268,"Waning"
"72","run2",11,6365.60326278443,"Waning"
"73","run3",11,6358.9104010779,"Waning"
"74","run4",11,6359.12295233216,"Waning"
"75","run5",11,5569.02841626277,"Waning"
"76","run6",11,5759.79404319365,"Waning"
"77","run7",11,5554.45601970473,"Waning"
"78","run1",12,5447.9250328124,"Waning"
"79","run2",12,5445.53717905887,"Waning"
"80","run3",12,5433.85621504114,"Waning"
"81","run4",12,5435.08624298607,"Waning"
"82","run5",12,4931.77357159833,"Waning"
"83","run6",12,4932.41603015833,"Waning"
"84","run7",12,4905.44921341636,"Waning"
"85","run1",13,5256.75338583997,"Waning"
"86","run2",13,5253.00369366389,"Waning"
"87","run3",13,5238.95416727558,"Waning"
"88","run4",13,5240.08796870267,"Waning"
"89","run5",13,4302.42247743083,"Waning"
"90","run6",13,4583.5831503958,"Waning"
"91","run7",13,4275.07528447808,"Waning"
"92","run1",14,5821.50162309308,"Waning"
"93","run2",14,5817.81429060392,"Waning"
"94","run3",14,5803.45662452988,"Waning"
"95","run4",14,5804.48520232518,"Waning"
"96","run5",14,4973.62351102276,"Waning"
"97","run6",14,5048.02459307185,"Waning"
"98","run7",14,4943.32384407019,"Waning"
"99","run1",15,5936.70324762295,"Waning"
"100","run2",15,5932.99229294814,"Waning"
"101","run3",15,5919.65682154163,"Waning"
"102","run4",15,5920.50918626506,"Waning"
"103","run5",15,4332.40926344638,"Waning"
"104","run6",15,4723.87060637601,"Waning"
"105","run7",15,4303.7914115471,"Waning"
"106","run1",16,5061.62287303871,"Waning"
"107","run2",16,5057.44018002948,"Waning"
"108","run3",16,5040.27512532778,"Waning"
"109","run4",16,5042.12789239389,"Waning"
"110","run5",16,4296.25736371658,"Waning"
"111","run6",16,4300.44561244979,"Waning"
"112","run7",16,4261.50368201426,"Waning"
"113","run1",17,6524.9562954063,"Waning"
"114","run2",17,6521.9531070049,"Waning"
"115","run3",17,6510.93579089011,"Waning"
"116","run4",17,6511.94440624204,"Waning"
"117","run5",17,5212.29520086044,"Waning"
"118","run6",17,5682.98925919901,"Waning"
"119","run7",17,5189.47336197248,"Waning"
"120","run1",18,5053.80992345833,"Waning"
"121","run2",18,5047.03509840292,"Waning"
"122","run3",18,5021.67806849103,"Waning"
"123","run4",18,5024.34795562542,"Waning"
"124","run5",18,4374.99124223428,"Waning"
"125","run6",18,4435.00203824408,"Waning"
"126","run7",18,4327.5768623736,"Waning"
"127","run1",19,6277.47476482862,"Waning"
"128","run2",19,6272.41888454515,"Waning"
"129","run3",19,6253.58081977466,"Waning"
"130","run4",19,6255.15300754028,"Waning"
"131","run5",19,4804.94963754433,"Waning"
"132","run6",19,5411.25389344276,"Waning"
"133","run7",19,4768.35116453623,"Waning"
"134","run1",20,5622.14060189672,"Waning"
"135","run2",20,5614.34935178642,"Waning"
"136","run3",20,5584.71245939475,"Waning"
"137","run4",20,5588.36124788641,"Waning"
"138","run5",20,4635.19649967271,"Waning"
"139","run6",20,5005.91093965575,"Waning"
"140","run7",20,4581.88912740326,"Waning"
"141","run1",21,4612.22950460746,"Waning"
"142","run2",21,4606.71499528958,"Waning"
"143","run3",21,4584.74969279399,"Waning"
"144","run4",21,4586.27096621484,"Waning"
