"","scenario_run","run","total","wane"
"1","run1",1,1925.40658173574,"No waning"
"2","run2",1,1907.74389127661,"No waning"
"3","run3",1,1860.41355757224,"No waning"
"4","run4",1,1856.15105621045,"No waning"
"5","run5",1,695.854451454864,"No waning"
"6","run6",1,1306.81913837778,"No waning"
"7","run7",1,532.655965843081,"No waning"
"8","run1",2,1733.06458727751,"No waning"
"9","run2",2,1718.85899870081,"No waning"
"10","run3",2,1678.09339417989,"No waning"
"11","run4",2,1681.32733331465,"No waning"
"12","run5",2,387.018264934308,"No waning"
"13","run6",2,846.465911229653,"No waning"
"14","run7",2,134.451765401291,"No waning"
"15","run1",3,4466.67773134074,"No waning"
"16","run2",3,4446.70528277264,"No waning"
"17","run3",3,4433.2237894895,"No waning"
"18","run4",3,4432.9394749316,"No waning"
"19","run5",3,746.297334076162,"No waning"
"20","run6",3,3115.30163584901,"No waning"
"21","run7",3,527.131885360466,"No waning"
"22","run1",4,2719.64172210192,"No waning"
"23","run2",4,2706.40353484293,"No waning"
"24","run3",4,2694.47641743758,"No waning"
"25","run4",4,2691.12453253183,"No waning"
"26","run5",4,644.310520305053,"No waning"
"27","run6",4,1836.98796401077,"No waning"
"28","run7",4,539.948416702444,"No waning"
"29","run1",5,2066.74468828955,"No waning"
"30","run2",5,2050.6222518782,"No waning"
"31","run3",5,2025.96521048761,"No waning"
"32","run4",5,2023.34551795061,"No waning"
"33","run5",5,539.869275203656,"No waning"
"34","run6",5,1357.72291150065,"No waning"
"35","run7",5,335.891281405564,"No waning"
"36","run1",6,2130.06818120035,"No waning"
"37","run2",6,2114.32216763959,"No waning"
"38","run3",6,2098.72377619987,"No waning"
"39","run4",6,2096.9128197919,"No waning"
"40","run5",6,576.031134777123,"No waning"
"41","run6",6,1070.41696397077,"No waning"
"42","run7",6,391.607761942851,"No waning"
"43","run1",7,2511.87797634406,"No waning"
"44","run2",7,2497.68962106689,"No waning"
"45","run3",7,2494.08419386812,"No waning"
