"","scenario_run","run","total","wane"
"127","run1",19,6706.41499664534,"Waning"
"128","run2",19,6702.42499588023,"Waning"
"129","run3",19,6685.79306350085,"Waning"
"130","run4",19,6687.82742802786,"Waning"
"131","run5",19,5479.59483314092,"Waning"
"132","run6",19,5722.63985575593,"Waning"
"133","run7",19,5447.79027595497,"Waning"
"134","run1",20,5322.88223655784,"Waning"
"135","run2",20,5320.09949437294,"Waning"
"136","run3",20,5309.44959341405,"Waning"
"137","run4",20,5310.64461092446,"Waning"
"138","run5",20,4744.9491064772,"Waning"
"139","run6",20,4770.70213265166,"Waning"
"140","run7",20,4722.58853895863,"Waning"
"141","run1",21,4386.33717139761,"Waning"
"142","run2",21,4377.74826059007,"Waning"
"143","run3",21,4341.48321276038,"Waning"
"144","run4",21,4344.37135914269,"Waning"
"145","run5",21,2532.16946976443,"Waning"
"146","run6",21,3111.17141232674,"Waning"
"147","run7",21,2465.60871286356,"Waning"
"148","run1",22,5546.3654968783,"Waning"
"149","run2",22,5541.26505861656,"Waning"
"150","run3",22,5522.48748170644,"Waning"
"151","run4",22,5524.15629839434,"Waning"
"152","run5",22,4295.64646339626,"Waning"
"153","run6",22,4656.88443842211,"Waning"
"154","run7",22,4258.73885124386,"Waning"
"155","run1",23,5501.47950765288,"Waning"
"156","run2",23,5495.78361273076,"Waning"
"157","run3",23,5474.73614300013,"Waning"
"158","run4",23,5477.00214879946,"Waning"
"159","run5",23,4693.04620678656,"Waning"
"160","run6",23,4943.90834313393,"Waning"
"161","run7",23,4655.08965817615,"Waning"
"162","run1",24,4754.49779474634,"Waning"
"163","run2",24,4748.32072956645,"Waning"
"164","run3",24,4725.06915464326,"Waning"
"165","run4",24,4727.34707503403,"Waning"
"166","run5",24,3861.82735597008,"Waning"
"167","run6",24,4050.80021592567,"Waning"
"168","run7",24,3818.28062561585,"Waning"
"169","run1",25,5026.79465896351,"Waning"
"170","run2",25,5024.61881638438,"Waning"
"171","run3",25,5015.5893503309,"Waning"
"172","run4",25,5016.38364213486,"Waning"
"173","run5",25,4479.09937850632,"Waning"
"174","run6",25,4487.32663725977,"Waning"
"175","run7",25,4457.80945705013,"Waning"
"176","run1",26,6707.84777827095,"Waning"
"177","run2",26,6704.06249474195,"Waning"
"178","run3",26,6688.29922986328,"Waning"
"179","run4",26,6690.36936774995,"Waning"
"180","run5",26,5741.42680927954,"Waning"
"181","run6",26,5872.60191971636,"Waning"
"182","run7",26,5711.893358769,"Waning"
"183","run1",27,5716.95650960832,"Waning"
"184","run2",27,5710.32252835252,"Waning"
"185","run3",27,5683.1878229016,"Waning"
"186","run4",27,5686.81722988719,"Waning"
"187","run5",27,4640.81815064332,"Waning"
"188","run6",27,4712.41852816836,"Waning"
"189","run7",27,4590.39721777972,"Waning"
"190","run1",28,6212.97935208354,"Waning"
"191","run2",28,6207.54897649003,"Waning"
"192","run3",28,6186.96872810571,"Waning"
"193","run4",28,6188.6678380012,"Waning"
"194","run5",28,4182.28906961603,"Waning"
"195","run6",28,5143.71946913627,"Waning"
"196","run7",28,4139.97608519155,"Waning"
"197","run1",29,6788.02531786626,"Waning"
"198","run2",29,6783.37315883853,"Waning"
"199","run3",29,6762.92282824943,"Waning"
"200","run4",29,6765.07913210797,"Waning"
"201","run5",29,5081.57546524441,"Waning"
"202","run6",29,5451.65915877171,"Waning"
"203","run7",29,5041.41955359066,"Waning"
"204","run1",30,6294.09606458924,"Waning"
"205","run2",30,6288.24541726213,"Waning"
"206","run3",30,6265.29932866589,"Waning"
"207","run4",30,6266.93955631897,"Waning"
"208","run5",30,4465.27597898606,"Waning"
"209","run6",30,5392.66780321104,"Waning"
"210","run7",30,4422.57674386996,"Waning"
"211","run1",31,4337.99845532816,"Waning"
"212","run2",31,4330.63219874999,"Waning"
"213","run3",31,4304.98896152458,"Waning"
"214","run4",31,4307.3398576342,"Waning"
"215","run5",31,3542.11756050885,"Waning"
"216","run6",31,3652.31069982013,"Waning"
"217","run7",31,3493.66720452893,"Waning"
"218","run1",32,6663.69871264515,"Waning"
"219","run2",32,6660.62303241905,"Waning"
"220","run3",32,6649.59130590557,"Waning"
"221","run4",32,6650.97183563811,"Waning"
"222","run5",32,5802.21049732464,"Waning"
"223","run6",32,5985.88226386021,"Waning"
"224","run7",32,5779.91480269955,"Waning"
"225","run1",33,5650.15056322605,"Waning"
"226","run2",33,5644.4042424112,"Waning"
