"","scenario_run","run","total","wane"
"1","run1",1,1996.1485197735,"No waning"
"2","run2",1,1978.41576490991,"No waning"
"3","run3",1,1946.00910600379,"No waning"
"4","run4",1,1944.49562012419,"No waning"
"5","run5",1,569.693812351278,"No waning"
"6","run6",1,1434.54869438232,"No waning"
"7","run7",1,342.596189607822,"No waning"
"8","run1",2,1780.82881739197,"No waning"
"9","run2",2,1764.67723022906,"No waning"
"10","run3",2,1727.61183687247,"No waning"
"11","run4",2,1726.96570331692,"No waning"
"12","run5",2,579.686646142605,"No waning"
"13","run6",2,929.659338819142,"No waning"
"14","run7",2,380.540191415786,"No waning"
"15","run1",3,1659.0146319106,"No waning"
"16","run2",3,1642.47896027453,"No waning"
"17","run3",3,1600.33728425364,"No waning"
"18","run4",3,1599.96584615222,"No waning"
"19","run5",3,407.785805889711,"No waning"
"20","run6",3,964.119223189833,"No waning"
"21","run7",3,147.022335033533,"No waning"
"22","run1",4,2729.49627548503,"No waning"
"23","run2",4,2716.15185097477,"No waning"
"24","run3",4,2706.74779137123,"No waning"
"25","run4",4,2704.90548817276,"No waning"
"26","run5",4,813.134611031207,"No waning"
"27","run6",4,1369.46968512213,"No waning"
"28","run7",4,717.71814295414,"No waning"
"29","run1",5,2452.56025045621,"No waning"
"30","run2",5,2438.69542445302,"No waning"
"31","run3",5,2426.49182387133,"No waning"
"32","run4",5,2426.71169405929,"No waning"
"33","run5",5,907.825135138967,"No waning"
"34","run6",5,1615.42960145026,"No waning"
"35","run7",5,804.392450782604,"No waning"
"36","run1",6,2003.45015447192,"No waning"
"37","run2",6,1991.17441599325,"No waning"
"38","run3",6,1984.70860892403,"No waning"
"39","run4",6,1982.95573130815,"No waning"
"40","run5",6,895.099812291438,"No waning"
"41","run6",6,1350.10120982354,"No waning"
"42","run7",6,823.732122207908,"No waning"
"43","run1",7,1959.22243891197,"No waning"
"44","run2",7,1943.86057041324,"No waning"
"45","run3",7,1925.96512739447,"No waning"
"46","run4",7,1923.71387645092,"No waning"
"47","run5",7,541.041429810335,"No waning"
"48","run6",7,1313.97226152521,"No waning"
"49","run7",7,345.457780014833,"No waning"
"50","run1",8,3080.11202603302,"No waning"
"51","run2",8,3070.99599376142,"No waning"
"52","run3",8,3048.27663119153,"No waning"
"53","run4",8,3045.15436756545,"No waning"
"54","run5",8,1648.50316246992,"No waning"
"55","run6",8,2633.2703308273,"No waning"
"56","run7",8,1598.73838016455,"No waning"
"57","run1",9,3032.50304820717,"No waning"
"58","run2",9,3022.26954169443,"No waning"
"59","run3",9,3014.0841431797,"No waning"
"60","run4",9,3009.52600815467,"No waning"
"61","run5",9,907.147118966329,"No waning"
"62","run6",9,2239.62489272789,"No waning"
"63","run7",9,890.835261031842,"No waning"
"64","run1",10,2548.31836968228,"No waning"
"65","run2",10,2531.96760137089,"No waning"
"66","run3",10,2508.40531382738,"No waning"
"67","run4",10,2508.42732876786,"No waning"
"68","run5",10,1107.13914378218,"No waning"
"69","run6",10,1894.95658837464,"No waning"
"70","run7",10,991.249670844865,"No waning"
"71","run1",11,1337.68988760578,"No waning"
"72","run2",11,1324.77032106875,"No waning"
"73","run3",11,1302.62394846989,"No waning"
"74","run4",11,1299.99270365655,"No waning"
"75","run5",11,690.719095489553,"No waning"
"76","run6",11,964.777200730849,"No waning"
"77","run7",11,586.444361819891,"No waning"
"78","run1",12,2447.24175520518,"No waning"
"79","run2",12,2433.66917594986,"No waning"
"80","run3",12,2407.70607796407,"No waning"
"81","run4",12,2406.53063301114,"No waning"
"82","run5",12,605.036107326678,"No waning"
"83","run6",12,1654.77969424837,"No waning"
"84","run7",12,441.831591749099,"No waning"
"85","run1",13,2452.92093585404,"No waning"
"86","run2",13,2441.33641342416,"No waning"
"87","run3",13,2437.55724196483,"No waning"
"88","run4",13,2434.87198435055,"No waning"
"89","run5",13,1093.52057387676,"No waning"
"90","run6",13,1737.59360237696,"No waning"
"91","run7",13,1051.05739758509,"No waning"
"92","run1",14,1896.02366088767,"No waning"
"93","run2",14,1884.15507578546,"No waning"
"94","run3",14,1871.01724690068,"No waning"
"95","run4",14,1866.14071458806,"No waning"
"96","run5",14,530.230369792938,"No waning"
"97","run6",14,1305.27032100612,"No waning"
"98","run7",14,426.201896888116,"No waning"
"99","run1",15,3095.61560346592,"No waning"
"100","run2",15,3078.01176805322,"No waning"
"101","run3",15,3072.82286621114,"No waning"
"102","run4",15,3071.01016787389,"No waning"
"103","run5",15,546.464396992177,"No waning"
"104","run6",15,2183.19216330959,"No waning"
"105","run7",15,352.57822436796,"No waning"
"106","run1",16,1657.02474676068,"No waning"
"107","run2",16,1644.98676335201,"No waning"
"108","run3",16,1593.57619335783,"No waning"
"109","run4",16,1593.75854624193,"No waning"
"110","run5",16,341.588356088878,"No waning"
"111","run6",16,636.755107271285,"No waning"
