"","scenario_run","run","population","total"
"1","run1",1,"(C) prisoners",583.926260616877
"2","run1",2,"(C) prisoners",889.43039616639
"3","run1",3,"(C) prisoners",557.215063578794
"4","run1",4,"(C) prisoners",740.227678798727
"5","run1",5,"(C) prisoners",597.997144807897
"6","run1",6,"(C) prisoners",800.345807645795
"7","run1",7,"(C) prisoners",716.830907198492
"8","run1",8,"(C) prisoners",714.082008819317
"9","run1",9,"(C) prisoners",618.027195996561
"10","run1",10,"(C) prisoners",618.538183232673
"11","run1",11,"(C) prisoners",1130.49598597441
"12","run1",12,"(C) prisoners",744.022399496411
"13","run1",13,"(C) prisoners",591.894159893398
"14","run1",14,"(C) prisoners",688.883193191396
"15","run1",15,"(C) prisoners",780.125994396064
"16","run1",16,"(C) prisoners",725.203693015786
"17","run1",17,"(C) prisoners",532.922918626648
"18","run1",18,"(C) prisoners",704.357355028077
"19","run1",19,"(C) prisoners",728.645967792626
"20","run1",20,"(C) prisoners",600.342317462168
"21","run1",21,"(C) prisoners",533.336206576972
"22","run1",22,"(C) prisoners",633.474378519802
"23","run1",23,"(C) prisoners",571.52762204623
"24","run1",24,"(C) prisoners",574.939164565364
"25","run1",25,"(C) prisoners",616.124853699606
"26","run1",26,"(C) prisoners",453.378818604877
"27","run1",27,"(C) prisoners",725.049431118733
"28","run1",28,"(C) prisoners",562.781825395855
"29","run1",29,"(C) prisoners",595.121314954306
"30","run1",30,"(C) prisoners",891.284999594485
"31","run1",31,"(C) prisoners",676.71517061335
"32","run1",32,"(C) prisoners",467.051669375683
"33","run1",33,"(C) prisoners",483.140905623375
"34","run1",34,"(C) prisoners",606.329724624498
"35","run1",35,"(C) prisoners",439.571698556826
"36","run1",36,"(C) prisoners",644.130368752328
"37","run1",37,"(C) prisoners",783.959066506374
"38","run1",38,"(C) prisoners",682.712362560386
"39","run1",39,"(C) prisoners",591.264568992445
"40","run1",40,"(C) prisoners",599.640952295012
"41","run1",41,"(C) prisoners",915.329364105801
"42","run1",42,"(C) prisoners",559.579338629523
"43","run1",43,"(C) prisoners",891.094919357893
"44","run1",44,"(C) prisoners",482.617666572623
"45","run1",45,"(C) prisoners",499.003988029542
"46","run1",46,"(C) prisoners",707.806045486329
"47","run1",47,"(C) prisoners",815.229447763665
"48","run1",48,"(C) prisoners",638.345445970841
"49","run1",49,"(C) prisoners",740.989467154857
"50","run1",50,"(C) prisoners",690.22903642983
"51","run1",51,"(C) prisoners",478.948764133113
"52","run1",52,"(C) prisoners",700.732633294371
