"","scenario_run","run","total","wane"
"1","run1",1,4849.5901393919,"Waning"
"2","run2",1,4842.80399091136,"Waning"
"3","run3",1,4816.05772099016,"Waning"
"4","run4",1,4818.48454163303,"Waning"
"5","run5",1,3763.48903993443,"Waning"
"6","run6",1,3944.61141800419,"Waning"
"7","run7",1,3713.32326023276,"Waning"
"8","run1",2,5201.34019396509,"Waning"
"9","run2",2,5197.52849767187,"Waning"
"10","run3",2,5184.4986343938,"Waning"
"11","run4",2,5185.62846643954,"Waning"
"12","run5",2,4581.02706360702,"Waning"
"13","run6",2,4638.87436946467,"Waning"
"14","run7",2,4554.36202535055,"Waning"
"15","run1",3,5398.75351777972,"Waning"
"16","run2",3,5393.30930861899,"Waning"
"17","run3",3,5370.78768367085,"Waning"
"18","run4",3,5372.08026909399,"Waning"
"19","run5",3,4010.44407253168,"Waning"
"20","run6",3,4512.9944696266,"Waning"
"21","run7",3,3968.9919842176,"Waning"
"22","run1",4,4945.34111684005,"Waning"
"23","run2",4,4940.7124035516,"Waning"
"24","run3",4,4921.50806159992,"Waning"
"25","run4",4,4922.43426859652,"Waning"
"26","run5",4,3864.07188922839,"Waning"
"27","run6",4,4085.99778640624,"Waning"
"28","run7",4,3827.82483562948,"Waning"
"29","run1",5,5556.24665936575,"Waning"
"30","run2",5,5550.877489614,"Waning"
"31","run3",5,5531.30790030177,"Waning"
"32","run4",5,5532.83700537712,"Waning"
"33","run5",5,4410.17969270647,"Waning"
"34","run6",5,4729.3072320426,"Waning"
"35","run7",5,4372.07356416669,"Waning"
"36","run1",6,5523.5331980705,"Waning"
"37","run2",6,5521.06279949053,"Waning"
"38","run3",6,5510.61567378121,"Waning"
"39","run4",6,5512.03520714441,"Waning"
"40","run5",6,5194.97821423656,"Waning"
"41","run6",6,5227.57041843698,"Waning"
"42","run7",6,5173.75489554013,"Waning"
"43","run1",7,4678.06938702166,"Waning"
"44","run2",7,4673.86865173087,"Waning"
"45","run3",7,4655.18841106696,"Waning"
"46","run4",7,4656.98313031736,"Waning"
"47","run5",7,4054.99267987819,"Waning"
"48","run6",7,4046.43523384004,"Waning"
"49","run7",7,4019.21962089439,"Waning"
"50","run1",8,5057.65107264395,"Waning"
"51","run2",8,5046.00817630879,"Waning"
"52","run3",8,5001.42675723417,"Waning"
"53","run4",8,5005.47077592813,"Waning"
"54","run5",8,3848.586870744,"Waning"
"55","run6",8,4289.10937034291,"Waning"
"56","run7",8,3772.80133216413,"Waning"
"57","run1",9,5745.72489756569,"Waning"
"58","run2",9,5740.32994680581,"Waning"
"59","run3",9,5716.41022097904,"Waning"
"60","run4",9,5717.87530023322,"Waning"
"61","run5",9,3375.4676190911,"Waning"
"62","run6",9,4403.6112888622,"Waning"
"63","run7",9,3329.38173089796,"Waning"
"64","run1",10,5727.40103354513,"Waning"
"65","run2",10,5724.19991638375,"Waning"
"66","run3",10,5711.76259763286,"Waning"
"67","run4",10,5712.97380576627,"Waning"
"68","run5",10,5204.25831822981,"Waning"
"69","run6",10,5280.83043123704,"Waning"
"70","run7",10,5178.72331047583,"Waning"
"71","run1",11,5802.60144208522,"Waning"
"72","run2",11,5796.45969986133,"Waning"
"73","run3",11,5771.11167446928,"Waning"
"74","run4",11,5773.87292504849,"Waning"
"75","run5",11,4207.60042430489,"Waning"
"76","run6",11,4884.2361382035,"Waning"
"77","run7",11,4160.56723487303,"Waning"
"78","run1",12,6144.81508196528,"Waning"
"79","run2",12,6140.90693908801,"Waning"
"80","run3",12,6127.12056866249,"Waning"
"81","run4",12,6128.57533962045,"Waning"
"82","run5",12,5304.73546279888,"Waning"
"83","run6",12,5629.96517422244,"Waning"
"84","run7",12,5278.81260857314,"Waning"
"85","run1",13,5840.45920218225,"Waning"
"86","run2",13,5835.75633856249,"Waning"
"87","run3",13,5817.33881498781,"Waning"
"88","run4",13,5819.62182118025,"Waning"
"89","run5",13,5039.67260586171,"Waning"
"90","run6",13,5095.82920767356,"Waning"
"91","run7",13,5003.88522094573,"Waning"
"92","run1",14,5416.72790705406,"Waning"
"93","run2",14,5412.78659087464,"Waning"
"94","run3",14,5395.62361592128,"Waning"
"95","run4",14,5397.4573610079,"Waning"
"96","run5",14,4493.37102383818,"Waning"
"97","run6",14,4509.63652137837,"Waning"
"98","run7",14,4459.35076504475,"Waning"
"99","run1",15,5467.99117400798,"Waning"
"100","run2",15,5463.21295784294,"Waning"
"101","run3",15,5446.24664982195,"Waning"
"102","run4",15,5447.94917265432,"Waning"
"103","run5",15,4580.00856262244,"Waning"
"104","run6",15,4798.78864171524,"Waning"
"105","run7",15,4546.80632093469,"Waning"
"106","run1",16,5934.71919859285,"Waning"
"107","run2",16,5932.17263372062,"Waning"
"108","run3",16,5921.63198330472,"Waning"
"109","run4",16,5922.68808144897,"Waning"
"110","run5",16,5175.69550410503,"Waning"
"111","run6",16,5227.3567796005,"Waning"
"112","run7",16,5153.45323022781,"Waning"
"113","run1",17,5880.11709097153,"Waning"
"114","run2",17,5876.13514742396,"Waning"
"115","run3",17,5862.30598664195,"Waning"
"116","run4",17,5863.82475081455,"Waning"
"117","run5",17,4902.39464600868,"Waning"
