"","scenario_run","run","population","total"
"1","run1",1,"(C) prisoners",568.095479791498
"2","run1",2,"(C) prisoners",567.712615163132
"3","run1",3,"(C) prisoners",634.872383720049
"4","run1",4,"(C) prisoners",613.446088764099
"5","run1",5,"(C) prisoners",506.473356115244
"6","run1",6,"(C) prisoners",589.466312289693
"7","run1",7,"(C) prisoners",775.189353297672
"8","run1",8,"(C) prisoners",959.503523607059
"9","run1",9,"(C) prisoners",624.108929616321
"10","run1",10,"(C) prisoners",774.120218657485
"11","run1",11,"(C) prisoners",878.658916744105
"12","run1",12,"(C) prisoners",697.064207792754
"13","run1",13,"(C) prisoners",696.602065431454
"14","run1",14,"(C) prisoners",611.347149901872
"15","run1",15,"(C) prisoners",598.865762588329
"16","run1",16,"(C) prisoners",529.118760602454
"17","run1",17,"(C) prisoners",601.540623686633
"18","run1",18,"(C) prisoners",859.312444297885
"19","run1",19,"(C) prisoners",602.135572185113
"20","run1",20,"(C) prisoners",693.793606750721
"21","run1",21,"(C) prisoners",699.705121327383
"22","run1",22,"(C) prisoners",805.82900294608
"23","run1",23,"(C) prisoners",643.982122002843
"24","run1",24,"(C) prisoners",457.251372716499
"25","run1",25,"(C) prisoners",605.127052504209
"26","run1",26,"(C) prisoners",867.004807786318
"27","run1",27,"(C) prisoners",705.895873712478
"28","run1",28,"(C) prisoners",705.269943811382
"29","run1",29,"(C) prisoners",570.7260997532
"30","run1",30,"(C) prisoners",559.468139155852
"31","run1",31,"(C) prisoners",841.844525273426
"32","run1",32,"(C) prisoners",581.490339924227
"33","run1",33,"(C) prisoners",639.973416029718
"34","run1",34,"(C) prisoners",628.313829101705
"35","run1",35,"(C) prisoners",642.052396817986
"36","run1",36,"(C) prisoners",593.603681195639
"37","run1",37,"(C) prisoners",668.107019684633
"38","run1",38,"(C) prisoners",655.890181315535
"39","run1",39,"(C) prisoners",627.132188599733
"40","run1",40,"(C) prisoners",546.078292503693
"41","run1",41,"(C) prisoners",676.353824506231
"42","run1",42,"(C) prisoners",828.322743630707
"43","run1",43,"(C) prisoners",608.412822152193
"44","run1",44,"(C) prisoners",533.143985753601
"45","run1",45,"(C) prisoners",701.934534690725
"46","run1",46,"(C) prisoners",514.106262429544
"47","run1",47,"(C) prisoners",706.721975108009
"48","run1",48,"(C) prisoners",777.229710111842
"49","run1",49,"(C) prisoners",559.735690632472
"50","run1",50,"(C) prisoners",708.996260584855
"51","run1",51,"(C) prisoners",541.260793219554
"52","run1",52,"(C) prisoners",441.560720153391
"53","run1",53,"(C) prisoners",638.573468742859
"54","run1",54,"(C) prisoners",579.569215973129
"55","run1",55,"(C) prisoners",599.91594707871
"56","run1",56,"(C) prisoners",643.961845095384
"57","run1",57,"(C) prisoners",604.512846536158
"58","run1",58,"(C) prisoners",541.572493434805
"59","run1",59,"(C) prisoners",634.067265862566
"60","run1",60,"(C) prisoners",701.220201528614
"61","run1",61,"(C) prisoners",777.734964277265
"62","run1",62,"(C) prisoners",653.596398612391
"63","run1",63,"(C) prisoners",715.64297855327
"64","run1",64,"(C) prisoners",613.500721649452
"65","run1",65,"(C) prisoners",521.900683845809
"66","run1",66,"(C) prisoners",617.765421500725
"67","run1",67,"(C) prisoners",631.376782045918
"68","run1",68,"(C) prisoners",592.102556377338
"69","run1",69,"(C) prisoners",645.968204273316
"70","run1",70,"(C) prisoners",550.189059839712
"71","run1",71,"(C) prisoners",611.144849014611
"72","run1",72,"(C) prisoners",720.454362826732
"73","run1",73,"(C) prisoners",482.964521446932
"74","run1",74,"(C) prisoners",656.943372564813
"75","run1",75,"(C) prisoners",665.393806641336
"76","run1",76,"(C) prisoners",572.168650772851
"77","run1",77,"(C) prisoners",556.947869203364
"78","run1",78,"(C) prisoners",499.972066208248
"79","run1",79,"(C) prisoners",637.055658697619
"80","run1",80,"(C) prisoners",496.123805535561
"81","run1",81,"(C) prisoners",891.934163951928
"82","run1",82,"(C) prisoners",611.594194873731
"83","run1",83,"(C) prisoners",395.279752991907
"84","run1",84,"(C) prisoners",631.303987967149
"85","run1",85,"(C) prisoners",493.421096236872
"86","run1",86,"(C) prisoners",542.163901537672
"87","run1",87,"(C) prisoners",541.482628441688
"88","run1",88,"(C) prisoners",820.373848180388
"89","run1",89,"(C) prisoners",556.966128238622
"90","run1",90,"(C) prisoners",833.212849718367
"91","run1",91,"(C) prisoners",559.794327808466
"92","run1",92,"(C) prisoners",798.409907642419
"93","run1",93,"(C) prisoners",699.301851301905
"94","run1",94,"(C) prisoners",630.087239779102
"95","run1",95,"(C) prisoners",661.67969411122
"96","run1",96,"(C) prisoners",586.523690791312
"97","run1",97,"(C) prisoners",609.160928005271
"98","run1",98,"(C) prisoners",648.779635434482
"99","run1",99,"(C) prisoners",1089.38618651308
"100","run1",100,"(C) prisoners",575.158623726103
"101","run2",1,"(C) prisoners",568.051680340583
"102","run2",2,"(C) prisoners",567.654246113821
"103","run2",3,"(C) prisoners",634.931487523647
"104","run2",4,"(C) prisoners",613.437729069132
"105","run2",5,"(C) prisoners",506.653337060378
"106","run2",6,"(C) prisoners",589.459704322874
"107","run2",7,"(C) prisoners",775.225579094029
"108","run2",8,"(C) prisoners",959.410939688338
"109","run2",9,"(C) prisoners",624.079618630406
"110","run2",10,"(C) prisoners",774.482440730692
"111","run2",11,"(C) prisoners",878.545157223158
"112","run2",12,"(C) prisoners",697.015402449357
"113","run2",13,"(C) prisoners",696.573481349603
"114","run2",14,"(C) prisoners",611.470929089626
"115","run2",15,"(C) prisoners",598.795641466293
"116","run2",16,"(C) prisoners",529.111935182516
"117","run2",17,"(C) prisoners",601.679212510454
"118","run2",18,"(C) prisoners",859.115471400282
"119","run2",19,"(C) prisoners",602.201448046824
"120","run2",20,"(C) prisoners",693.788206513635
"121","run2",21,"(C) prisoners",699.74239309827
"122","run2",22,"(C) prisoners",805.83543592802
"123","run2",23,"(C) prisoners",643.964823639232
"124","run2",24,"(C) prisoners",457.815487792315
"125","run2",25,"(C) prisoners",605.129556075611
"126","run2",26,"(C) prisoners",866.9490439695
"127","run2",27,"(C) prisoners",706.397106211078
"128","run2",28,"(C) prisoners",705.372587796007
"129","run2",29,"(C) prisoners",570.755642576308
"130","run2",30,"(C) prisoners",559.448548098765
"131","run2",31,"(C) prisoners",841.889132537155
"132","run2",32,"(C) prisoners",581.63584252455
"133","run2",33,"(C) prisoners",640.227816748504
"134","run2",34,"(C) prisoners",628.332883808683
"135","run2",35,"(C) prisoners",641.99859833566
"136","run2",36,"(C) prisoners",593.554845137909
"137","run2",37,"(C) prisoners",668.173547293013
"138","run2",38,"(C) prisoners",655.881439666418
"139","run2",39,"(C) prisoners",626.989486791606
"140","run2",40,"(C) prisoners",546.199710144805
"141","run2",41,"(C) prisoners",676.189142620848
"142","run2",42,"(C) prisoners",828.267387286913
"143","run2",43,"(C) prisoners",608.447971231593
"144","run2",44,"(C) prisoners",532.975600383878
"145","run2",45,"(C) prisoners",701.88874525136
"146","run2",46,"(C) prisoners",514.228708636406
"147","run2",47,"(C) prisoners",706.658805101878
"148","run2",48,"(C) prisoners",777.185469951216
"149","run2",49,"(C) prisoners",559.766713691343
"150","run2",50,"(C) prisoners",708.944584201701
"151","run2",51,"(C) prisoners",541.267403885197
"152","run2",52,"(C) prisoners",441.654200475855
"153","run2",53,"(C) prisoners",638.560735747673
"154","run2",54,"(C) prisoners",579.642234493057
"155","run2",55,"(C) prisoners",599.903510032458
"156","run2",56,"(C) prisoners",643.937648430363
"157","run2",57,"(C) prisoners",604.549884254905
"158","run2",58,"(C) prisoners",541.665433356734
"159","run2",59,"(C) prisoners",634.130497746547
"160","run2",60,"(C) prisoners",701.361413723269
"161","run2",61,"(C) prisoners",777.695458020446
"162","run2",62,"(C) prisoners",653.517710472795
"163","run2",63,"(C) prisoners",715.64623487226
"164","run2",64,"(C) prisoners",613.586210587938
"165","run2",65,"(C) prisoners",521.89502542212
"166","run2",66,"(C) prisoners",617.7616614372
"167","run2",67,"(C) prisoners",631.307508111337
"168","run2",68,"(C) prisoners",592.394020174692
"169","run2",69,"(C) prisoners",645.924860654971
"170","run2",70,"(C) prisoners",550.09456312257
"171","run2",71,"(C) prisoners",611.092235464323
"172","run2",72,"(C) prisoners",720.574803219126
"173","run2",73,"(C) prisoners",482.984466902894
"174","run2",74,"(C) prisoners",656.930033559007
"175","run2",75,"(C) prisoners",665.505223771808
"176","run2",76,"(C) prisoners",572.436906827137
"177","run2",77,"(C) prisoners",557.280084258278
"178","run2",78,"(C) prisoners",499.831552756842
"179","run2",79,"(C) prisoners",637.062137410066
"180","run2",80,"(C) prisoners",496.002191864829
"181","run2",81,"(C) prisoners",891.73428502233
"182","run2",82,"(C) prisoners",611.577571908229
"183","run2",83,"(C) prisoners",396.441075516157
"184","run2",84,"(C) prisoners",631.369925034321
"185","run2",85,"(C) prisoners",493.5305514976
"186","run2",86,"(C) prisoners",542.182508536121
"187","run2",87,"(C) prisoners",541.256533756182
"188","run2",88,"(C) prisoners",820.237372711504
"189","run2",89,"(C) prisoners",557.132838047413
"190","run2",90,"(C) prisoners",833.19620754961
"191","run2",91,"(C) prisoners",559.858870317395
"192","run2",92,"(C) prisoners",798.229071694659
"193","run2",93,"(C) prisoners",699.302191251777
"194","run2",94,"(C) prisoners",630.240975980615
"195","run2",95,"(C) prisoners",661.669837219552
"196","run2",96,"(C) prisoners",586.558152151553
"197","run2",97,"(C) prisoners",609.22149771264
"198","run2",98,"(C) prisoners",648.799284569407
"199","run2",99,"(C) prisoners",1089.25511001367
"200","run2",100,"(C) prisoners",575.052652328164
"201","run3",1,"(C) prisoners",568.07407364076
"202","run3",2,"(C) prisoners",567.537405966211
"203","run3",3,"(C) prisoners",636.612877634413
"204","run3",4,"(C) prisoners",615.161521918873
"205","run3",5,"(C) prisoners",504.797708105914
"206","run3",6,"(C) prisoners",589.618651342902
"207","run3",7,"(C) prisoners",776.166393275233
"208","run3",8,"(C) prisoners",959.44583397734
"209","run3",9,"(C) prisoners",623.952249793583
"210","run3",10,"(C) prisoners",773.449165538515
"211","run3",11,"(C) prisoners",880.053945675376
"212","run3",12,"(C) prisoners",696.973674145317
"213","run3",13,"(C) prisoners",697.587865064279
"214","run3",14,"(C) prisoners",610.519985936857
"215","run3",15,"(C) prisoners",599.167901372986
"216","run3",16,"(C) prisoners",530.71440852016
"217","run3",17,"(C) prisoners",602.842811214348
"218","run3",18,"(C) prisoners",860.529968664426
"219","run3",19,"(C) prisoners",600.34900071293
"220","run3",20,"(C) prisoners",695.451502883922
"221","run3",21,"(C) prisoners",704.544255007108
"222","run3",22,"(C) prisoners",808.550298824439
"223","run3",23,"(C) prisoners",645.036913776632
"224","run3",24,"(C) prisoners",457.181275262159
"225","run3",25,"(C) prisoners",603.086628031848
"226","run3",26,"(C) prisoners",869.083128504745
"227","run3",27,"(C) prisoners",708.80639630206
"228","run3",28,"(C) prisoners",710.897987732641
"229","run3",29,"(C) prisoners",571.460474750172
"230","run3",30,"(C) prisoners",561.180062847902
"231","run3",31,"(C) prisoners",842.065111574591
"232","run3",32,"(C) prisoners",582.633627912592
