"","scenario_run","run","vacc.count"
"214","run3",14,228.527479339434
"215","run3",15,211.51907158195
"216","run3",16,210.80705074553
"217","run3",17,205.42860242799
"218","run3",18,212.998589751105
"219","run3",19,243.106701092316
"220","run3",20,228.307910242909
"221","run3",21,241.110515048894
"222","run3",22,237.209331009894
"223","run3",23,166.354887446983
"224","run3",24,124.824025942664
"225","run3",25,272.005945832269
"226","run3",26,314.280754826689
"227","run3",27,256.744200968336
"228","run3",28,256.43082791768
"229","run3",29,139.286593383597
"230","run3",30,122.34039159725
"231","run3",31,127.413789746287
"232","run3",32,169.603269933667
"233","run3",33,272.952758007866
"234","run3",34,310.30317279329
"235","run3",35,255.47364282446
"236","run3",36,212.360947074943
"237","run3",37,154.007952490513
"238","run3",38,283.251132342926
"239","run3",39,281.658880073822
"240","run3",40,240.36229520882
"241","run3",41,111.667069229942
"242","run3",42,318.876990400987
"243","run3",43,193.580359344207
"244","run3",44,204.452818948599
"245","run3",45,119.824669610084
"246","run3",46,254.41681928411
"247","run3",47,205.156901541458
"248","run3",48,237.020195542778
"249","run3",49,318.676444711493
"250","run3",50,182.151979000571
"251","run3",51,239.606199299268
"252","run3",52,257.780427961403
"253","run3",53,168.417958416766
"254","run3",54,287.384998660243
"255","run3",55,259.525015661507
"256","run3",56,269.63565886112
"257","run3",57,186.965298775724
"258","run3",58,251.711628327796
"259","run3",59,271.880972751404
"260","run3",60,168.478315391388
"261","run3",61,195.708829409793
"262","run3",62,87.5924410477801
"263","run3",63,197.251764872607
"264","run3",64,223.71211077665
"265","run3",65,210.949645694591
"266","run3",66,240.104009034044
"267","run3",67,165.025452416587
"268","run3",68,324.806178477923
"269","run3",69,248.908548019405
"270","run3",70,242.470528178021
"271","run3",71,205.872423163451
"272","run3",72,203.684307251338
"273","run3",73,266.983979342344
"274","run3",74,208.740531402174
"275","run3",75,156.074899174203
"276","run3",76,239.372998850128
"277","run3",77,217.499271057555
"278","run3",78,155.914783358035
"279","run3",79,284.223217645183
"280","run3",80,196.260438278775
"281","run3",81,172.776975899786
"282","run3",82,220.101307349722
"283","run3",83,185.043489957241
"284","run3",84,224.675793855026
"285","run3",85,144.246692987545
"286","run3",86,205.330422698054
"287","run3",87,183.877170689875
"288","run3",88,253.436455952628
"289","run3",89,169.022545124463
"290","run3",90,223.417449846545
"291","run3",91,159.909405951832
"292","run3",92,269.729392704072
"293","run3",93,252.378608553292
"294","run3",94,253.0051235836
"295","run3",95,220.159682305551
"296","run3",96,162.286512523757
"297","run3",97,287.03335688381
"298","run3",98,252.78752081386
"299","run3",99,268.225622839232
"300","run3",100,211.114639177389
"301","run4",1,201.369207226702
"302","run4",2,320.19579232344
"303","run4",3,273.481062386551
"304","run4",4,216.965409780678
"305","run4",5,350.084025142433
"306","run4",6,273.621714382261
"307","run4",7,98.5964356911965
"308","run4",8,303.752285960122
"309","run4",9,277.190641313302
"310","run4",10,266.49702251592
"311","run4",11,316.0818677497
"312","run4",12,193.955956875605
"313","run4",13,161.35992958977
"314","run4",14,261.257132864731
"315","run4",15,260.937091249823
"316","run4",16,243.823303516513
"317","run4",17,237.509613412622
"318","run4",18,247.513934948475
"319","run4",19,292.44333965827
"320","run4",20,260.639250030843
"321","run4",21,273.105173115984
"322","run4",22,269.23487853604
"323","run4",23,198.116723021888
"324","run4",24,161.421553691703
"325","run4",25,321.28084921973
"326","run4",26,363.194165568646
"327","run4",27,306.560546357392
"328","run4",28,289.613796405509
"329","run4",29,172.47836359743
"330","run4",30,139.146144043627
"331","run4",31,144.159573439232
"332","run4",32,204.167219836826
"333","run4",33,306.03203486073
"334","run4",34,352.264614174108
"335","run4",35,303.644737201462
"336","run4",36,244.860625033925
"337","run4",37,183.738856576984
"338","run4",38,309.968852507485
"339","run4",39,331.696054560746
"340","run4",40,273.360035969461
"341","run4",41,145.033435303327
"342","run4",42,365.167151098
"343","run4",43,227.36157508638
"344","run4",44,255.714661412271
"345","run4",45,155.400151063206
"346","run4",46,306.588591561707
"347","run4",47,238.541761179647
"348","run4",48,269.52985748743
"349","run4",49,367.113581623013
"350","run4",50,215.982434945975
"351","run4",51,272.433677280028
"352","run4",52,288.454284605338
"353","run4",53,201.546463134018
"354","run4",54,337.554554479116
"355","run4",55,287.731718380571
"356","run4",56,318.551411225215
"357","run4",57,219.681810027542
"358","run4",58,303.533248475796
"359","run4",59,316.649942639309
"360","run4",60,201.545810776723
"361","run4",61,228.341576713903
"362","run4",62,102.380829267811
"363","run4",63,231.249673487838
"364","run4",64,272.82438841401
"365","run4",65,245.795069621855
"366","run4",66,272.810944153944
"367","run4",67,196.642277881458
"368","run4",68,371.456163239513
"369","run4",69,298.253296391841
"370","run4",70,295.203861892293
"371","run4",71,238.394985234522
"372","run4",72,235.869620306125
"373","run4",73,316.689621953165
"374","run4",74,263.796435127842
"375","run4",75,189.212601904095
"376","run4",76,289.144660304058
"377","run4",77,249.175422372757
"378","run4",78,188.915674748759
"379","run4",79,332.226350372216
"380","run4",80,229.050998113264
"381","run4",81,222.647928584203
"382","run4",82,270.348075709669
"383","run4",83,218.913960501785
"384","run4",84,254.732925349661
"385","run4",85,159.818465133137
"386","run4",86,237.453304031532
"387","run4",87,217.001968806239
"388","run4",88,298.955438784101
"389","run4",89,203.18350497191
"390","run4",90,270.048837956992
"391","run4",91,192.588703643788
"392","run4",92,316.470866254248
"393","run4",93,285.611783167385
"394","run4",94,282.189714163142
"395","run4",95,273.623217757958
"396","run4",96,195.723484005428
"397","run4",97,335.810308700241
"398","run4",98,306.002717123258
"399","run4",99,316.083219424851
"400","run4",100,244.618254463165
"401","run5",1,2610.75415032447
"402","run5",2,2548.691609943
"403","run5",3,2514.99074343076
"404","run5",4,2766.75148677218
"405","run5",5,4142.9054032037
"406","run5",6,2482.4063875706
"407","run5",7,1505.61898626496
"408","run5",8,2761.99136694044
"409","run5",9,3245.16626250158
"410","run5",10,2949.67925119611
"411","run5",11,3332.06652518532
"412","run5",12,1997.68180117017
"413","run5",13,1660.07454607784
"414","run5",14,2722.93200593674
"415","run5",15,3729.07923244903
"416","run5",16,3632.55382449492
"417","run5",17,2289.23034528842
"418","run5",18,3433.35394347495
"419","run5",19,2427.65756931156
"420","run5",20,1774.43703081403
"421","run5",21,3645.48812111655
"422","run5",22,2174.18633104133
"423","run5",23,2875.48447254766
"424","run5",24,1726.44921387127
"425","run5",25,3470.1017373735
"426","run5",26,3252.23310191791
"427","run5",27,4057.00487402294
"428","run5",28,2894.15320992735
"429","run5",29,1815.76668960248
"430","run5",30,2105.25904906839
"431","run5",31,1668.61475334748
"432","run5",32,2519.53244233485
"433","run5",33,3787.03239607929
"434","run5",34,3630.2860184342
"435","run5",35,3525.27046290161
"436","run5",36,2532.81679662598
"437","run5",37,2282.60964042963
"438","run5",38,3182.54525099177
"439","run5",39,4812.09295152395
"440","run5",40,3272.88932883757
"441","run5",41,2058.59042400144
"442","run5",42,2659.11845586794
"443","run5",43,2544.35168339168
"444","run5",44,3407.0029020763
"445","run5",45,1826.11462694564
