"","scenario_run","run","total","imm_vac","imm_nat","staff_to","b_rate","qaly.sym","qaly.nonicu","qaly.icu","eff_inf1","eff_inf2","eff_dis1","eff_dis2","target_R0","prev","LFD.uptake","LFD.sens","vac.uptake"
"1","run1",1,148.548730265424,0.000676019385783875,0.000656764522617806,0.000293457790576565,0.00398406465157498,0.00274749028093904,0.0166549342945667,0.150560380492554,0.56063188105786,0.790031655378984,6.6068983980654e-07,0.294319098968273,4.17580644161615,0.00248505337629048,0.585536615982371,0.886071614199023,0.738857880867676
"2","run1",2,186.239718804278,0.000605765431860033,0.000578728728762524,0.00016258341852116,0.00623859969739896,0.0141354871670442,0.0185173659068344,0.137101190735877,0.528314495190957,0.7963683422078,2.63843650975585e-07,0.194822863724366,3.91388212097075,0.0196990452419049,0.38562693179795,0.816567616249952,0.781397773668169
"3","run1",3,239.156002675899,0.000844380386908843,0.00227338216203111,0.000215421894503915,0.00642211897904908,0.0138900552678416,0.0197663794362957,0.148913776868047,0.622421947625757,0.770111032702974,4.93331435975402e-12,0.209262249432942,3.72113747349565,0.0168655743542598,0.370783557970494,0.808231377435099,0.590632652538867
"4","run1",4,217.871531082768,0.00111330382034351,0.00100933466201595,0.000260892576427337,0.00539997047728952,0.015490116701997,0.0183070682420772,0.142938255379583,0.61086672012912,0.771105063043851,0.00291997231845178,0.33466272150501,6.44682835946319,0.00553080032990733,0.496332182541654,0.81446129320313,0.754759570760882
"5","run1",5,224.175315052435,0.00139229514850382,0.00172797038241575,0.000172969479950637,0.00536440092707637,0.0130235001257836,0.0174547601376843,0.131745470044103,0.574247115048331,0.779272900316449,0.308319238852716,0.0331022504535908,5.22617309159877,0.0174173817574426,0.326179760837344,0.849619406677506,0.800603807541492
"6","run1",6,210.348347422491,0.00226945974048022,0.00157224839397688,0.000251783979746583,0.00485902914639832,0.00173322035437528,0.0189011075286388,0.216131355484475,0.510393667174316,0.773022274519428,2.04034299888548e-18,0.150984086615636,6.1040391959195,0.00672691615365725,0.580366527784329,0.715347901662464,0.633693652088729
"7","run1",7,187.868474354417,0.000749883385336051,0.000826822832088079,0.000296245325908098,0.0055883306485753,0.0187296252711903,0.0172866503126261,0.157456071534841,0.539141344048294,0.794935231895408,1.41208714347143e-14,0.312243931933379,3.69770812359032,0.0030717430086697,0.489267808124458,0.839802310346398,0.723831312220026
"8","run1",8,197.284229297928,0.00040288403902026,0.00132719506995369,0.000282287722371127,0.00476460161533866,0.000393391608846869,0.0166374803384496,0.244327316141731,0.540331077889541,0.785644090353127,5.03752982495217e-06,0.395760003770634,5.3514912172065,0.0108866582282849,0.394142471852319,0.847771993875101,0.767349910156106
"9","run1",9,189.11147321262,0.00040946646521017,0.00179592865588079,0.000136060149086333,0.00442465406034477,0.0057616503619794,0.0192953696184099,0.120818432103027,0.590891260372743,0.794666867634577,0.00050016873903288,0.268774654241979,4.69315446868641,0.00265741559676011,0.558443381314145,0.830109406693391,0.640273191311165
"10","run1",10,202.416345373923,0.0012626728703384,0.00122939096078397,0.000237317751129245,0.00521811384660371,0.0177923400483945,0.015577338903104,0.167284011296911,0.583038039139004,0.795293861560743,3.03673773992528e-08,0.143209860516374,3.97876130697104,0.0149179127724464,0.649765623613302,0.824244945664864,0.747070682318543
