"","scenario_run","run","vacc.count"
"214","run3",14,160.82528905256
"215","run3",15,167.638492824888
"216","run3",16,176.627122410488
"217","run3",17,171.098717701804
"218","run3",18,190.295830106193
"219","run3",19,215.295214110305
"220","run3",20,269.937965231858
"221","run3",21,236.827189684942
"222","run3",22,242.160818311887
"223","run3",23,214.850635162878
"224","run3",24,182.809530769439
"225","run3",25,269.980752015759
"226","run3",26,231.963070781061
"227","run3",27,218.14995170466
"228","run3",28,160.756081762355
"229","run3",29,81.1824209703297
"230","run3",30,124.474943973085
"231","run3",31,311.133730012129
"232","run3",32,259.056552928799
"233","run3",33,201.072827358495
"234","run3",34,196.77578273647
"235","run3",35,188.246416157688
"236","run3",36,136.123215216141
"237","run3",37,274.645353817549
"238","run3",38,225.057015670265
"239","run3",39,139.814697767614
"240","run3",40,283.322434343723
"241","run3",41,178.869928195432
"242","run3",42,286.632809264029
"243","run3",43,154.778523761095
"244","run3",44,235.238737598092
"245","run3",45,205.052263104991
"246","run3",46,293.425913781254
"247","run3",47,277.915216285313
"248","run3",48,224.107966542716
"249","run3",49,185.626148530511
"250","run3",50,192.410621508365
"251","run3",51,259.593425425815
"252","run3",52,133.403488798606
"253","run3",53,270.9507887216
"254","run3",54,196.510307933938
"255","run3",55,118.480082559001
"256","run3",56,257.050073640445
"257","run3",57,223.496596243086
"258","run3",58,102.782079187087
"259","run3",59,245.264561570784
"260","run3",60,226.434794009921
"261","run3",61,275.055573067868
"262","run3",62,230.761002834732
"263","run3",63,232.885448638738
"264","run3",64,241.576642880815
"265","run3",65,311.260324325925
"266","run3",66,211.013839161045
"267","run3",67,207.820209806028
"268","run3",68,287.719433250891
"269","run3",69,195.6493261382
"270","run3",70,201.318973903796
"271","run3",71,264.733534254907
"272","run3",72,148.398610697874
"273","run3",73,264.411285253254
"274","run3",74,240.266493299034
"275","run3",75,300.802536243368
"276","run3",76,306.07943721885
"277","run3",77,200.610281014753
"278","run3",78,298.404688984891
"279","run3",79,198.729866484606
"280","run3",80,269.178338860856
"281","run3",81,253.992181944636
"282","run3",82,192.494353154845
"283","run3",83,283.832455195379
"284","run3",84,239.802643163351
"285","run3",85,164.937373327889
"286","run3",86,151.217433428358
"287","run3",87,236.002603958618
"288","run3",88,149.546683850465
"289","run3",89,161.138447584602
"290","run3",90,258.720445901905
"291","run3",91,215.050069593464
"292","run3",92,210.69432310162
"293","run3",93,128.316124904787
"294","run3",94,235.847343472232
"295","run3",95,262.005440907218
"296","run3",96,170.308041337749
"297","run3",97,236.577948165692
"298","run3",98,223.85943245159
"299","run3",99,310.330522869948
"300","run3",100,111.913505788958
"301","run4",1,302.287854638793
"302","run4",2,306.142183395432
"303","run4",3,227.527904977863
"304","run4",4,291.220141674564
"305","run4",5,294.723602547765
"306","run4",6,231.284768918165
"307","run4",7,281.877464035393
"308","run4",8,307.337833547644
"309","run4",9,247.393139080757
"310","run4",10,285.342148307288
"311","run4",11,212.96905221315
"312","run4",12,377.084518333277
"313","run4",13,244.615458890733
"314","run4",14,194.239836781922
"315","run4",15,200.904287270659
"316","run4",16,210.978945005261
"317","run4",17,203.696792426147
"318","run4",18,223.044448554662
"319","run4",19,263.942416645112
"320","run4",20,318.398974300453
"321","run4",21,288.689509564598
"322","run4",22,275.752932486284
"323","run4",23,247.009454668579
"324","run4",24,218.319835754781
"325","run4",25,320.758888967427
"326","run4",26,263.385657818603
"327","run4",27,269.75865012169
"328","run4",28,192.284851757894
"329","run4",29,99.0321251335882
"330","run4",30,140.467060200668
"331","run4",31,360.63930119573
"332","run4",32,308.333306546485
"333","run4",33,250.006881389299
"334","run4",34,225.562341993219
"335","run4",35,220.885795911517
"336","run4",36,150.036750373387
"337","run4",37,324.568720620572
